Names,Low,High,TradingView,Hyper_link_Traiding_view,Grow Url,Hyper_link_Grow,scraper_links
Nippon india etf psu bank bees,25,55,Link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=BSE%3APSUBNKBEES,Grow_link,https://groww.in/etfs/reliance-etf-psu-bank-bees,https://economictimes.indiatimes.com/nippon-india-etf-nifty-psu-bank-bees/mffactsheet/schemeid-6175.cms?from=mdr
Mirae Asset Nyse Fang+ Etf Share Price MAFANG EQ,33.9,64.4,Link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=NSE%3AMAFANG,Grow_link,https://groww.in/etfs/mirae-asset-nyse-fang-etf,https://economictimes.indiatimes.com/mirae-asset-nyse-fang-etf/mffactsheet/schemeid-41429.cms?from=mdr
nippon-india-etf-nifty-it,27.1,36.68,Link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=NSE%3AITBEES,Grow_link,https://groww.in/etfs/nippon-india-etf-nifty-it,https://economictimes.indiatimes.com/nippon-india-etf-nifty-it/mffactsheet/schemeid-41024.cms?from=mdr
Nippon India ETF Hang Seng BeES,210,321,Link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=BSE%3AHNGSNGBEES,Grow_link,https://groww.in/etfs/reliance-etf-hang-seng-bees,https://economictimes.indiatimes.com/nippon-india-etf-hang-seng-bees/mffactsheet/schemeid-10905.cms?from=mdr
Nippon India ETF Gold BeES,37,52,Link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=NSE%3AGOLDBEES,Grow_link,https://groww.in/etfs/reliance-etf-gold-bees,https://economictimes.indiatimes.com/nippon-india-etf-gold-bees/mffactsheet/schemeid-4957.cms?from=mdr
CPSE ETF,29.57,39.42,Link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=BSE%3ACPSEETF,Grow_link,https://groww.in/etfs/reliance-mutual-fund-cpse-etf,https://economictimes.indiatimes.com/cpse-etf/mffactsheet/schemeid-25711.cms?from=mdr
Nippon India ETF Nifty BeES,153,223.2,Link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=NSE%3ANIFTYBEES,Grow_link,https://groww.in/etfs/reliance-etf-nifty-bees,https://economictimes.indiatimes.com/nippon-india-etf-nifty-50-bees/mffactsheet/schemeid-1171.cms?from=mdr
Motilal-NASDAQ 100,84.4,129.9,Link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=NSE%3AMON100,Grow_link,https://groww.in/etfs/motilal-oswal-mutual-fundmotilal-oswal-most-shares-nasdaq-etf,https://economictimes.indiatimes.com/motilal-oswal-nasdaq-100-etf/mffactsheet/schemeid-12498.cms?from=mdr
Mirae Asset Hang Seng TECH ETF / MAHKTECH,10,16.96,link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=NSE%3AMAHKTECH,Grow_link,https://groww.in/etfs/mirae-asset-hang-seng-tech-etf,https://economictimes.indiatimes.com/mirae-asset-hang-seng-tech-etf/mffactsheet/schemeid-41876.cms?from=mdr
SBI ETF Sensex,600,735,link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=BSE%3ASBISENSEX,Grow_link,https://groww.in/etfs/sbi-mutual-fund-sbi-sensex-etf,https://economictimes.indiatimes.com/sbi-sp-bse-sensex-etf/mffactsheet/schemeid-18077.cms?from=mdr
Nippon ETF Nifty Midcap 150,112,163.45,link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=NSE%3AMID150BEES,Grow_link,https://groww.in/etfs/reliance-nippon-life-asset-management-ltd-retfmid,https://economictimes.indiatimes.com/nippon-india-etf-nifty-midcap-150/mffactsheet/schemeid-38950.cms?from=mdr
Nippon India Silver ETF,46,76,link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=NSE%3ASILVERBEES,Grow_link,https://groww.in/etfs/nippon-life-india-asset-management-ltd-nippon-india-silver-etf,https://economictimes.indiatimes.com/nippon-india-silver-etf/mffactsheet/schemeid-41984.cms?from=mdr
MIRAEAMC - MASPTOP50,24.5,34,link,https://in.tradingview.com/chart/?symbol=NSE%3AMASPTOP50,Grow_link,https://groww.in/etfs/mirae-asset-sp-top-etf-masptop,https://economictimes.indiatimes.com/mirae-asset-sp-500-top-50-etf/mffactsheet/schemeid-41698.cms?from=mdr
Nippon India ETF Junior BeES,384,511,link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=BSE%3AJUNIORBEES,Grow_link,https://groww.in/etfs/reliance-etf-junior-bees,https://economictimes.indiatimes.com/nippon-india-etf-nifty-next-50-junior-bees/mffactsheet/schemeid-1545.cms?from=mdr
ICICINV20,81,118.85,link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=BSE%3AICICINV20,Grow_link,https://groww.in/etfs/icici-prudential-nv-etf,https://economictimes.indiatimes.com/icici-prudential-nifty50-value-20-etf/mffactsheet/schemeid-32540.cms?from=mdr
Licnetfn50,164,206,link,https://in.tradingview.com/chart/pN2An4Uo/?symbol=BSE%3ALICNETFN50,Grow_link,https://groww.in/etfs/lic-nomura-mf-etfnifty-,https://economictimes.indiatimes.com/lic-mf-nifty-50-etf/mffactsheet/schemeid-31217.cms?from=mdr
Aditya Birla Sun Life Nifty IT ETF - Growth,26,32,,,,,https://economictimes.indiatimes.com/aditya-birla-sun-life-nifty-it-etf/mffactsheet/schemeid-41807.cms?from=mdr
Aditya Birla Sun Life NIFTY Healthcare ETF,6,10,,,,,https://economictimes.indiatimes.com/aditya-birla-sun-life-nifty-healthcare-etf/mffactsheet/schemeid-41780.cms?from=mdr
Axis Banking ETF,378.38,480,,,,,https://economictimes.indiatimes.com/axis-nifty-bank-etf/mffactsheet/schemeid-41162.cms?from=mdr
Axis Nifty ETF,179,218,,,,,https://economictimes.indiatimes.com/axis-nifty-50-etf/mffactsheet/schemeid-34322.cms?from=mdr
Axis Nifty Healthcare ETF,66,101,,,,,https://economictimes.indiatimes.com/axis-nifty-healthcare-etf/mffactsheet/schemeid-41481.cms?from=mdr
Axis Nifty India Consumption ETF,71,88,,,,,https://economictimes.indiatimes.com/axis-nifty-india-consumption-etf/mffactsheet/schemeid-41685.cms?from=mdr
Axis Nifty IT ETF,271,350,,,,,https://economictimes.indiatimes.com/axis-nifty-it-etf/mffactsheet/schemeid-41382.cms?from=mdr
